app name,apple,andriod
POCKET COMICS: Premium Webtoon,https://apps.apple.com/us/app/pocket-comics-premium-webtoon/id1492654676,https://play.google.com/store/apps/details?id=com.piccomaeurope.fr&hl=en_US&gl=US
NHS App,https://apps.apple.com/us/app/nhs-app/id1388411277,https://play.google.com/store/apps/details?id=com.nhs.online.nhsonline
ASOS,https://apps.apple.com/us/app/asos/id457876088,https://play.google.com/store/apps/details?id=com.asos.app
Gangstar Vegas: World of Crime,https://apps.apple.com/us/app/gangstar-vegas-mafia-action/id571393580,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftGGHM
Stick Warriors - God Infinity,https://apps.apple.com/us/app/stick-warriors-god-infinity/id1498751007,https://play.google.com/store/apps/details?id=com.stickman.warriors.stickwarriors.dragon.shadow.fight
Pixel Gun 3D - FPS Shooter,https://apps.apple.com/us/app/pixel-gun-3d-online-shooter/id640111933,https://play.google.com/store/apps/details?id=com.pixel.gun3d
Bleach: Brave Souls Anime Game,https://apps.apple.com/us/app/bleach-brave-souls-anime-game/id1003168863,https://play.google.com/store/apps/details?id=com.klab.bleach
